individual	host_leaf	stunting	chlorotic_area	av_streak_width	deviation_from_rectangle	yellowness	whitness
MSV-A-ZW-Chi-Zim3_2006	SC_leaf4	c(-0.145982982631323,-0.474045429527027,-0.552077144547222,-0.32295990732257,-0.918988788357334,-0.600696603707425,-0.304874969578019,-0.575847644881952,-1.53908113615497,-2.46929856021937,0.05909155927635,-0.273254462098099,-0.79843904968511,-0.757601897209211,-0.368929521201175,-0.755724189920189,-1.28090688102561,-1.62108982305335,-1.5501945499997,-2.03504964524877,0.0159147075529884,0.176072449230499,-0.187182909645118,-0.377207370330644,0.0497574723664484,-0.506517309560851,-1.56251688448812)	c(0.44190920245686,0.596149199552535,0.680159761412207,0.495549768167201,0.494051421774183,-0.494420196276636,-0.537864767061237,0.385073152544159,0.612807984755357,0.329692136796492,0.553380476125857,0.689932989425828,0.161851144051921,0.574391988855815,0.580191576331657,0.377613789604563,0.391661855863404,-0.134118135382724,0.33291026561854,0.0113261383063061,0.499607271038136,0.501781270602248,0.649615253019355,0.67843630775397,-0.0909893228858041,0.397637546357619)	c(-3.29098611295288,-3.68283487941956,-3.16599205096402,-3.05665763933936,-3.09328580980177,-3.16972403561681,-3.46838889086251,-3.04583469836091,-3.14971414762974,-3.00972759275303,-2.89066693945796,-3.00116956888912,-2.86268778194653,-2.99535636421676,-3.13250569301563,-2.85099691046833,-2.9238142790804,-3.29190724209979,-3.14635785717331,-2.91994126849504,-3.08270800754248,-2.99802508002704,-2.78031926201317,-3.32603389961219,-2.99341462138586)	c(-1.57378239356397,-1.76400661197554,-1.42712829870614,-1.07397956482351,-1.22958335725064,-1.35084897421845,-1.65159701512017,-1.63366535716467,-1.28312922840742,-1.13757536910159,-1.6707650712927,-1.13517563335368,-1.5460349090942,-1.64917598334565,-1.209645509166,-1.4718195111396,-1.20457873859834,-1.12587361857431,-1.5103459129629,-1.31743592040846,-1.47562663821812,-1.51801403160188,-1.54303014228476,-1.48949458469642,-1.70249534347004,-1.46490593336337,-1.2713362797868,-1.28998447593753)	c(0.00768629572601093,-0.0756080080582121,0.0203634170748016,0.0225083807441413,0.0117348505163488,-0.0266521472794147,-0.01735675210304,0.0041005434161925,0.0105358632824977,0.103348391508892,0.0724076150594347,0.0658257127637077,0.0752032731494551,0.0759397184655119,0.0692537886485624,0.0566400363321609,0.0387885652110054,0.0517008735233277,0.0160667238344715,0.0406068914811573,0.0884971688156452,0.0457265883946665,0.0524072499104263,0.0773347373134075,0.0727957750700425,0.0825263758378573,-0.00786567719798695)	c(-0.239559447685265,-0.382345753836013,-0.208416467209179,-0.207799812231238,-0.205474625995071,-0.312417355324359,-0.42177894480461,-0.284745548902513,-0.205074565681248,-0.182411016750535,-0.0224742518565663,-0.0465809482135653,-0.0465167213030378,0.0244305992498208,-0.0328852260345517,-0.0700611268170393,-0.0682340780786364,-0.0519739745860874,-0.0227505373986004,-0.122822475406702,-0.153776964454151,-0.0570376822865171,-0.142311483448801,-0.117169685344323,-0.0716671472544013,-0.127664872368274,-0.0341958520960412,-0.190861970829281)
MSV-A-ZW-Chi-Zim3_2006	SC_leaf5	c(-2.27298839826655,0.124845601366542,-0.0586387208362683,-0.205474674335175,-0.420844400998353,-0.456836803990084,-0.420210162076933,-0.585387913208749,-0.976476452209438,-0.242254191888437,-0.732295127080782,-0.2936627745836,0.0259841830321116,-0.721006685665034,-0.0646854076582013,-0.0223991391373842,-0.389748961760344,-0.672495466780916,-1.36083592672396,-0.104583547575715,-1.11782112065562,-0.40424142311613,-0.155354800322786,0.0652060320525815,-0.675767981512955,0.281134815615687,-2.15464526348646,-0.416927545052736)	c(0.413650410157416,0.823033024578551,0.839830530443351,0.763675706889096,0.759396632044895,0.471560468930917,0.652766040555239,0.579588145210599,0.379728859401479,0.630143474347572,0.505800392813351,0.706354727291703,0.62209441986455,0.453305521599036,0.643771399161643,0.419754820971947,0.576907947705183,0.294036024280027,0.46019762477489,0.358570311475309,0.437282087400171,0.420184357200759,0.591488269759872,0.372766046144294,0.284918693927931)	c(-3.25403875795793,-2.21263989719594,-2.48239955517774,-2.85455599269676,-2.33910974060043,-2.25799224907131,-2.6736642092866,-2.44420452293159,-2.5534587184428,-2.63403686128313,-2.74149996864082,-2.87833779337551,-2.42630037593673,-2.67591108510428,-3.88786912329282,-2.91814078304469,-2.70155473737606,-3.05789154734661,-2.98697479247718,-3.25626971767434,-2.96961967449982,-3.06118316811097,-2.7801163760663,-2.88780017724583,-2.95347212647106,-3.4945718511631,-3.27825209338945,-3.17492358268908)	c(-1.27212897973947,-1.23744108394474,-1.60807038679735,-1.4385659505341,-1.33219383009791,-1.48602517029231,-1.41551780028848,-1.90105154622593,-1.47635593611051,-1.50505969160803,-1.71195964146292,-1.52271179013797,-1.50952279431741,-1.4615313650092,-1.49801622129579,-1.66673065539528,-1.58648101098279,-1.46038340694211,-1.43921014023977,-1.46221654754799,-1.44535117918571,-1.3018230889508,-1.43878779385405,-1.51278522796238,-1.37609661780649)	c(0.0281294630739977,0.0717576534037623,0.0529429144227383,0.0386002310262684,0.0638194302129993,0.052788073898479,0.0412873444888744,0.0511787095040866,0.0466696499922965,0.0754011268663308,0.0981229240461951,0.0826755909841254,0.0759411626203318,0.0856265363525192,0.0851052177417254,0.0741869259305483,0.0796016065348681,0.0607730096946687,0.0673919901903902,0.0436998737528183,0.0463293971658677,0.0296708294015648,0.055671905284918,0.0500143080019524,0.0663827739408966,0.0673990577178685,0.0160002454459026,0.0521202425351893)	c(-0.146487941677316,-0.137070700723402,-0.20006489962942,-0.159705812344825,-0.12875818102684,-0.183111844420257,-0.227003934847766,-0.187984562364834,-0.103696461945183,-0.101389008850319,0.0197392622134917,-0.0616067247585796,-0.103524797728979,0.00548401699648241,0.0536187535211131,-0.0571223067713349,-0.0788396287856948,-0.0388650459538165,-0.0131411883941308,-0.143317391713888,-0.0692762448985446,-0.146760051696689,-0.141896198675499,-0.157291097413048,-0.050330878608868,-0.0970891276938306,-0.191946661874581,-0.13365701555523)
MSV-A-ZW-Chi-Zim3_2006	SC_leaf6	c(-0.32024677052836,0.0320654792591982,-0.296304168119979,0.0622054648019345,-0.108350234862163,-0.0625061824043744,-0.365102422734207,-0.781791983226878,-0.96409824550281,-0.526110264351848,-0.751705023261496,-0.908805952848927,-0.668430320458669,-0.222334758475334,-0.546803113192929,-0.53651390549541,-1.01386442148506,-0.424110306014239,-0.255322693224086,-0.238305893355975,-0.150970939065438,-0.677014215500481,-0.178790022807314,-0.393809445032194,-0.379033319980218,-1.39558546607021,-1.1687115122941)	c(0.452614941076212,0.460574005840257,0.603592285619003,0.604078595015634,0.499166400264474,0.55326916460889,0.611699410206506,0.561494563617559,0.441694163265394,0.792782441811644,0.495431397320228,0.464230420936982,0.300051415092748,0.549829246323043,0.573121445583497,0.0925767902061883,0.53346371394033,0.656091756748335,0.645046184960445,0.312975503284555,0.0360066551900638,0.154275443879071,-0.167567541049183,0.117065671950167,-0.0341074467767255,0.480717229705214,0.491251128110683)	c(-2.78223509929159,-2.96411152092411,-2.8877751320489,-2.88598140959487,-2.92807362508018,-2.71205822249975,-2.63108915996608,-2.90955457731294,-3.14191478373207,-2.49515272600952,-2.83930191987313,-2.62458572819647,-3.13841233650451,-2.77592606096471,-2.77832157166377,-3.46004861810636,-2.8675615989372,-2.7623870170432,-2.82798798406007,-3.01955067288016,-3.62780027209623,-3.31951406360304,-3.37215478059068,-3.21069902123064,-2.95175100599641,-3.2434379440982,-2.76332271260969,-2.94272298432811)	c(-1.47957279043579,-1.47830472447304,-1.64095067172109,-1.55354332862951,-1.48488394542394,-1.48400084984282,-1.47598329446614,-1.35224937834287,-1.48401175885412,-1.70082193644647,-1.54593527578955,-1.52563521305565,-1.52411710060753,-1.44748816120452,-1.60463156562246,-1.35419280312723,-1.62244220699337,-1.48527199188665,-1.53529738566064,-1.76240270064871,-1.52255295952614,-1.72986367361856,-1.46026130252966,-1.4264265407028)	c(0.0469885603936292,0.0392886252702342,0.0344975308732585,0.0336988183801505,0.0344325937854826,0.0426903042052332,0.057323873524462,0.0345326668666737,0.0377748957274598,0.0697827615261814,0.104465976341287,0.0998466351270655,0.0681042929990483,0.0851153641154458,0.0822754925987251,0.0666247985270311,0.0757666294758631,0.084021889567708,0.0846281415206692,0.0856645271389186,0.0840302168718885,0.0695536960479375,0.0743573602417732,0.0830887693203258,0.0838666843397222,0.0763423090562214,0.0737537488848564,0.080535621312989)	c(-0.156484058646665,-0.195920432250032,-0.213863507418191,-0.218995767564855,-0.233904125287497,-0.223810933322373,-0.16113847065942,-0.219340528073454,-0.233321150739869,-0.120924144861275,-0.000354511130907016,0.0139489311183629,-0.0452602375934368,-0.034363263838282,-0.0685672557598676,-0.135227898838834,-0.071437011234765,0.0107476831229365,-0.0820518042446998,-0.0298644740544349,-0.0503298240834386,-0.10008149112644,-0.0903953843204146,-0.0540117957620204,-0.0430660005126952,-0.0986048037321764,-0.090574764540278,0.00796085812769544)
MSV-A-ZW-Chi-Zim3_2006	GB_leaf4	c(-0.626377242760353,-0.975110720365027,-0.405157449439946,-1.28294246098025,-1.57189579483437,-1.53805248339696,-2.26952825098514,-1.65211988042475,-1.75933094392322,-0.631708856947452,-0.980563546981367,-1.11252204737059,-1.96616542918333,-1.18368210334664,-1.78881489673991,-1.38754320059539,-1.32092836118735,-2.06900515867213,-1.87345563410887,-2.68137271577325)	c(0.484402810559615,0.0945021388046421,0.494874209051111,0.281366479726806,0.190624541014333,0.534101809701964,0.269776148735584,0.183972921555856,0.042758617322574,0.260386384955585,-0.146987390050101,0.226392041061053,0.143742684766703,-0.00783603435171633,0.190777574698801,0.0944647891116662,0.376878247909381,0.342323159534082,0.0855308111222858,0.0917090133415327,0.587903213826357)	c(-2.78074264328368,-3.26751414681625,-2.95210631621428,-2.81538528159738,-2.84057665884298,-2.57785025533955,-2.95579203086265,-3.34299275862329,-3.08014595837844,-3.23172545387733,-3.36065050018202,-2.92859774371477,-3.18493218407828,-3.6419038877126,-3.3558001097045,-3.382636318906,-2.72210455750936,-3.05749306681883,-3.45902674759895,-3.35337731645803,-2.98432591411619)	c(-1.64377063801852,-1.71387493169578,-1.3775228896518,-1.67842586413133,-1.18019676959896,-0.684095786922992,-1.13847571361629,-1.37766432533363,-0.764518617459983,-1.54774217472722,-1.53867420584586,-1.32658130617836,-0.997798672800746,-1.56316947015867,-1.01231447882336,-1.43260660751859,-1.25746178328772,-1.24296184393056,-1.33856504384796,-0.947348103178003)	c(0.262860385560157,0.240721580397586,0.251928908167614,0.278600996326401,0.227719743985478,0.254332509086674,0.230965604712493,0.221445567272118,0.277295982243752,0.217534909627324,0.267625240723052,0.285358396954566,0.265762768754589,0.179366640439828,0.266190593107791,0.253764258186733,0.266026212494315,0.226184630676721,0.21276618777312,0.236139591975707,0.249817871967917)	c(0.303357577538456,0.30015245763505,0.271793031018625,0.364886575657802,0.353801172575635,0.320712833085786,0.398795855637732,0.375164810241879,0.292047815454025,0.335960195834758,0.16449650994779,0.268502630541475,0.188601669555523,0.196428751173623,0.375223114072196,0.261898895714921,0.380767203871933,0.322107998952894,0.271311306554997,0.30586010732172,0.306909408398101)
MSV-A-ZW-Chi-Zim3_2006	GB_leaf5	c(-1.01106939171025,-1.17770701032241,-2.57135477743233,-1.0516907779159,-0.927684429229772,-0.567670310940943,-1.06952651867703,-1.45913822244464,-1.13628101621433,-1.06091758639277,-1.8653770195044,-0.816523393158737,-1.1447102453824,-1.70944360190991,-1.88002611446459,-0.53201645517178,-2.08770003737354,-1.04739850099113,-1.76779272391805,-1.42330558834592)	c(0.560800237789067,0.339999382357191,0.414598679706717,0.466388522136432,0.360217405139167,-0.289808413224535,0.126301109006231,-0.102102289085012,0.440917528909083,0.283164027674842,0.259079965290045,-0.0053248471179606,-0.0119926805300925,0.116534465680603,-0.102956692930437,0.20843409903865,0.639074047290422,0.348652044282847,0.215056532184161,-0.296904556182486)	c(-2.80064244584063,-2.93473710392829,-3.15540617164146,-2.91021707194341,-2.8086873229024,-3.57537817655897,-2.71355286301499,-3.31807933385229,-2.79825896975949,-2.65065995247136,-3.0886436906913,-2.93270085627713,-3.30966113236543,-2.93745753525833,-3.56516888327924,-2.89131416982682,-2.97216595352962,-2.76484089432438,-3.06661465046108,-3.13544579910126)	c(-1.54786123239714,-1.37361670471358,-1.33068895638144,-1.81196174806668,-1.52522380325182,-1.24093030296942,-1.20271625289807,-1.34191130779283,-1.49985281116405,-1.66401406108151,-1.7685343361705,-1.34793222279209,-1.47979825486433,-1.4927765467715,-1.56904146491472,-1.62065008816254,-1.52892449750558,-1.160681718591)	c(0.245057032047971,0.252342474834053,0.215172404564377,0.265602399966945,0.219433483749648,0.215132714494179,0.241982590812963,0.21659985833419,0.230199122267449,0.230638626901659,0.212145268955013,0.308894936551653,0.282708141502097,0.294770915635532,0.247402305708144,0.27264889158364,0.256155915274881,0.301011969744764,0.246701017722702,0.328861168372514)	c(0.182663533617279,0.219790528838639,0.301451794305675,0.28430737149672,0.131055331140974,0.154272392226319,0.340583225684092,0.183642648746838,0.139054355206726,0.3489989401338,0.24374276137547,0.313129294873319,0.272723985269032,0.30701421458372,0.317653362061572,0.241484169024579,0.359269334602145,0.266081030653212,0.176733449462885,0.329835600136072)
MSV-A-ZW-Chi-Zim3_2006	GB_leaf6	c(-0.931246684147678,-0.834227156760194,-0.95587322406158,-0.841424677672967,-1.85611285550414,-1.20659765289546,-1.01540430040026,-0.391035588666233,-0.726008638148645,-0.707572277803489,-1.48789921810097,-1.69513790784237,-2.14015241521584,-2.43549160661041)	c(0.120078733500084,0.440328518092531,0.50107618717482,0.521509844331752,0.421206819625632,0.321849173035693,0.544161479352387,0.314247150743124,-0.0046790667801019,0.259860020771064,0.349830382225562,0.258908878555547,0.227100972567131,0.169718853152158)	c(-3.24272519870932,-2.80941690266342,-2.74473750524778,-2.84686021545465,-2.88371249806725,-2.97253945826827,-3.02015276117372,-3.04741711827158,-2.78986542876155,-3.05784040647908,-2.79138632737996,-3.21253723126507,-3.32543174918678,-2.78282826387035)	c(-1.31337563687176,-1.35502922617331,-1.68881350929014,-1.28121845263342,-1.51113741799366,-1.64080295629323,-1.62923530864844,-1.53685766118222,-1.2602446273112,-1.61623456854312,-1.55203569017625,-1.25942218866503,-1.41841127071016)	c(0.25524987829758,0.268585902323222,0.26836532938973,0.265751043846531,0.275480128625366,0.27434438754327,0.260543093492241,0.264715640670924,0.272223413522135,0.252230914916169,0.235369584061954,0.270548589921644,0.255076459996701)	c(0.116996156421748,0.27941972240098,0.381858247101649,0.179938622711149,0.321474294989314,0.187563550971536,0.14398805761887,0.20177133772621,0.197657902259332,0.119061154547318,0.145441125025615,0.261453283444544,0.300105836186474,0.259524517725973)
MSV-A-ZW-Chi-Zim3_2006	Pan77_leaf4	c(-0.573655003651275,-0.695640450175051,-0.992863108949946,-0.598831387721777,-0.355467952645875,-0.807632283380009,-1.31115421013178,-0.93320421686422,-1.04977303141805,-1.5780447935804,-0.6116508763315,-0.0347369450022977,0.155835722487986,-1.1612536058358,-0.365140989987798,0.251551281229032,-0.220686699348163,-0.246100509836423,-0.752764221406614,-1.35382338783369,-0.115451694096216,-0.47415593896398,-0.558733901161899,-1.04535581617635)	c(-0.0294223412260215,-0.380316191912041,-0.0626786716401717,-0.448226994078638,-0.375589949977678,-0.812862369491895,0.169118308363424,-0.0315036643030783,-0.0511774460212524,-0.360805223304332,0.124313692347858,-0.0452021421537612,-0.146204382193154,0.225348307772302,-0.134736472482401,-0.527904728533663,0.123636856755841,-0.0443631451582312,-0.218770860261878,-0.446763221765756,-0.149286245549858,-0.0876969976707928,-0.120973920886284,-0.218175692987005)	c(-3.35239556041781,-3.35251850939972,-3.36694831437702,-3.36230472231264,-3.51045474685183,-3.61103295326114,-2.95064151518446,-3.23845966759947,-3.0622049519684,-3.42262951788716,-3.1221697107428,-3.10859006814743,-3.35533879608754,-2.95065965853454,-3.15759788709735,-3.42692755157902,-3.12813810557386,-3.36112790381156,-3.29938886187924,-3.09569538145867,-3.19155355091877,-3.20442844270716,-3.41216019430207)	c(-1.27808557625793,-1.47388029909829,-1.2821715116473,-1.55586435388526,-1.51188687450736,-1.68831061930751,-1.39951595166574,-1.58892633740426,-1.60583647407779,-1.54437573337484,-1.61048286090508,-1.5415978471269,-1.32413550516896,-1.45942473872639,-1.59565218251877,-1.48002857267329,-1.21205257509518,-1.26807578281453,-1.60854199419525,-1.81183252289817,-1.45860505731808,-1.66749559448076,-1.2956783778776,-1.3169773500751)	c(0.252073783442536,0.24803675889772,0.243902136686014,0.260100515113345,0.265096849381727,0.259456775943055,0.245309331710173,0.262096365930321,0.24524926896628,0.240380092306834,0.247494291437502,0.229927491087399,0.217708536271964,0.249034143681734,0.234720754388938,0.221140080970332,0.259533973973098,0.264289317844882,0.209450385572407,0.228927646959196,0.252699389966543,0.242340649274468,0.23135266436654,0.212904222638362)	c(0.215934042814483,0.218919036272861,0.172458210545085,0.273628924882048,0.210158582542451,0.24024278520141,0.225622648000875,0.283041959319227,0.154922862841649,0.240689963496539,0.152714498179493,0.235784136482,0.198921024255634,0.291525548419574,0.23506561285947,0.2021824714512,0.208368473880996,0.266483289008598,0.154663699227673,0.233670439457961,0.202417769967784,0.280560998036579,0.202466558663085,0.15745709603184)
MSV-A-ZW-Chi-Zim3_2006	Pan77_leaf5	c(-0.597650205475672,-0.858279918374486,-0.523053799088198,-0.782984810916458,-1.50921002621206,-0.763325121106792,-1.08938867230301,-1.17931618587928,-0.948051967041515,-1.3610421587876,-0.62156385493172)	c(-0.868137512062112,-0.695528994418324,-0.688917421913846,-0.264878671851236,-0.0407781154090206,-0.898776823641803,-1.03791397495678,-0.776518381906804,-0.135849384948894,0.183188624220111,-0.351183571148822,-0.255139780115127,-0.181208323760538,-0.476225322243069)	c(-3.64929284636978,-3.75536799263349,-3.69558448266184,-3.31512538825516,-3.38958324757872,-3.68529165795866,-3.90768408218466,-3.53056330192519,-3.59305093594288,-3.1881995404464,-3.32957249696286,-3.31949451742682,-3.28239342732064,-3.36790651341565)	c(-1.48480302958587,-1.53536743340096,-1.4411844785731,-1.41994681230556,-1.46555250963827,-1.42161464523688,-1.45857117927398,-1.35139900121703,-1.41375359621531,-1.45263727624475)	c(0.290157237432276,0.274679526630341,0.269308080768472,0.31088334175967,0.274077649081686,0.277595875389361,0.258009009386903,0.254570849983212,0.262532264625103,0.253147833822763,0.283536139248108,0.270997369578963,0.266703588095837,0.289895507429208)	c(0.288155673726943,0.198959212698151,0.261376967944176,0.367642415545697,0.288994218029581,0.164670784378755,0.358155659875585,0.228989545201096,0.244930007613737,0.185990585670395,0.266899937351895,0.277458357284502,0.379700777789973,0.310515259967381)
MSV-A-ZW-Chi-Zim3_2006	Pan77_leaf6	c(0.095455551964553,0.0257127330661128,0.111943591686132,-0.0714008418934885,0.0958301691318926,0.0367219235850829,-0.220638297085847,0.285341952255078,-0.504481535119524,-1.04813373349043,-0.464803843593411,-0.925516634938508,-0.720248798074049,-0.773989442458454,-0.650293045516607,-0.946537382053861,-0.869570577745579,0.100074670661226,-0.262895402496324,0.354530834177337,0.227182082259128,0.129818529219802,0.0600757107217127,0.146306569938351,-0.0370378644220028,0.130193147128024,0.071084901132808,-0.186275319422563,0.31970492986101)	c(-0.566367874592228,-1.09909194292817,-0.853437481056385,-0.737700837960639,-0.214300423188986,-0.557848062603295,-0.00212058512677817,-0.423288590111856,-0.511705364864483,-0.278396235319731,-0.111236609822485,-0.171439284983358,0.0427451687431477,-0.00906307479073588,-0.321372324621888,-0.718612711300294,-0.326808794701349,0.0514116127669238,-0.100575076160925,-0.664135528154831,-0.476153331825316,-0.328824243186282,-0.544641270648068,-0.481763920716857,-0.737620910591744,-0.183884998571322,-0.233198828961045,-0.00145092518734197,-0.0457386524288135)	c(-3.39322921201298,-3.77661836842194,-3.72675321561402,-3.64340361435006,-3.43578882643177,-3.49991335460131,-3.15590102570681,-3.48349262438899,-3.51548996977424,-3.53031825209774,-3.46166882458608,-3.36693141339427,-3.29541705113892,-3.33323212599152,-3.47038959444483,-3.73151697069746,-3.27060821564446,-3.14332218569479,-3.3541641886344,-3.46283512213503,-3.36125974286918,-3.6268216950236,-3.67916990472155,-3.5979015176663,-3.41460869260339,-3.1219167552302,-3.40462069451698)	c(-1.47878460167404,-1.78810963496417,-1.68021572381188,-1.61159100302446,-1.73634065068874,-1.39234255326143,-1.41683554114447,-1.18393548479236,-1.57407918927254,-1.71875738598274,-1.67489241931376,-1.17831337480855,-1.68361780319962,-1.53723520500515,-1.36591758069675,-1.4038110088807,-1.48841647843632,-1.61912907350234,-1.44944186921448,-1.7889914232382,-1.47878460167404,-1.78810963496417,-1.68021572381188,-1.61159100302446,-1.73634065068874,-1.39234255326143,-1.41683554114447)	c(0.246015876831528,0.272572842960508,0.273128114226825,0.240314300121118,0.249198327923927,0.256525374698366,0.241412821354329,0.282240806011414,0.21672647500802,0.255739486790283,0.260130667421261,0.238899450204094,0.206150653420848,0.227120351483249,0.232715775057534,0.238367150268657,0.240138681972857,0.312412688126405,0.320474220587857,0.314836774423593,0.240592103281391,0.268837015860009,0.273199056987557,0.240225946280231,0.244946257392735,0.252556938734941,0.241391899881381,0.265784694870492)	c(0.243097265033452,0.334765460169411,0.230226321881436,0.194212625929702,0.107363970666373,0.221283494330125,0.235594495470435,0.299855743007615,0.141698768691614,0.22936782030251,0.237118017206952,0.179366948533674,0.140734264807024,0.125082062921572,0.17154785561539,0.108619244695147,0.232979650100555,0.342805538793897,0.201268251469831,0.2523441362492,0.170508640909084,0.194096130555894,0.105919795943852,0.165610560015988,0.235426807913868,0.234200798499633)
MSV-VW_1989	SC_leaf4	c(-1.79333949481132,-0.847778793350257,-0.940940885865906,-1.00443090844566,-0.198366908108168,-0.736445996120599,-0.628322036127756,-0.937150425368001,-0.426294029313822,-0.284995525785488,-0.273953306046957,-1.01148400126277,-0.654147295633576,-0.472743452736655,-0.983299854435603,-1.05026842979236,-2.41285671508415,-0.779726091076682,-0.440951143898824,-0.028124135887649,-0.439763111463877,-1.1664406762868,-1.60308865171747,-0.106045467961884,-1.02891890699572,-0.420225898024069,-1.05189037614304,-1.80937791658285,0.0767781799736006,0.0393158461279964,0.0237069318447239,-0.602690699096783,-1.32299042927415,-1.15628960499702,-1.58713968116136,-0.559245719919039,-1.6414524783464,-0.793213919677751,-1.16780408994028,-0.716697349687436,-1.74101957844003,-1.27362212694408,-1.33792420895268,-0.53550902789876,-1.36134776322554,-1.28032684212587,-1.03445611436577,-1.56530255556645,-1.45142515148092,-1.29477796133438,-1.26203509359706,-1.2844641954206)	c(-1.38781736001913,-0.999722295923013,-1.11467912095977,-0.931627163773619,-1.1869978929321,-1.49392829021169,-1.25015363258055,-1.08089595587341,-1.13531429505031,-1.36179835072482,-1.04197625100355,-2.1604608569717,-1.23915994111094,-1.62501058144117,-1.33996312799284,-1.052128770037,-1.1060249908128,-1.28833242646834,-1.43054614717903,-1.34164603200839,-1.24149834570905,-1.26507656821973,-1.33979271925471,-1.14454970061308,-1.29453100122802,-1.42786906568022,-1.53043514645365,-1.59978180451214,-1.14072709348378,-1.16328830849978,-1.29130168682751,-1.26542701364118,-1.64590069201443,-1.44309036333357,-1.05491089074243,-1.53649262915361,-2.30606078040577,-1.59290061730805,-1.17467452506737,-1.73172805136601,-1.40447932348019,-1.05569217145804,-1.86512929949496,-1.69171545229021,-1.26009768179732,-1.91401666428519,-1.88635086311483,-1.56062893919163,-1.38355212616412,-1.40222958221576,-1.23545783329468)	c(-3.27889261114159,-3.0122410363828,-2.78869083624876,-2.50093799993779,-2.91630255987674,-2.8870686491712,-2.95032005584615,-3.10509487577645,-2.77767324253311,-2.7064481900075,-2.9105976716054,-2.72100824509315,-4.109061405669,-3.10689174849991,-3.82875881538242,-2.94284453496844,-2.87966457491398,-3.362509906809,-3.02936690913081,-3.07104918541169,-2.99176421671502,-3.09260691849596,-3.19574355092449,-3.18620456552519,-3.04629025939977,-3.34657477359505,-3.4276658822085,-3.92710674520799,-3.7841846059309,-3.58184794733972,-2.97032522355189,-2.65928425151166,-2.92635506526722,-3.08705688828492,-3.18041881672491,-2.96457798749238,-3.42820695834199,-3.00514329865865,-3.36259793838012,-4.07234869477759,-3.29616337730334,-3.290734969838,-3.54990756287744,-2.92081235112113,-3.30538348329079,-3.50925870789429,-3.74066760776624,-3.82577668768839,-3.43742388912662,-3.50591303861939,-3.97514977688674,-3.74840999215835,-3.18661482733253,-3.47076198441343,-3.48244808867318)	c(-1.67243051130152,-1.68662667462039,-1.72977300109001,-1.5833904170866,-1.35102728487491,-1.53003969168284,-1.40717994219267,-1.46163434641107,-1.75432202247633,-1.49349363734831,-1.29211908263353,-1.57659575338041,-1.59188046876365,-1.43062855840921,-1.52570934904059,-1.58185161989097,-1.50309259747043,-1.68083014928047,-1.5564195157993,-1.3211531157012,-1.59793766772352,-1.67958967120401,-1.88473038744875,-1.45936544337311,-1.80211497368358,-1.69234182341735,-1.8290224421066,-1.72967507900891,-1.6814270290611,-1.35600257446597,-1.7932720576404,-1.50434758792615,-1.49101449411853,-1.54086488294567,-1.57259850873213,-1.68920890215228,-1.49573006853867,-1.64374119850442,-1.48531441257881,-1.70260388953927,-1.19411810466212,-1.40223602797683,-1.62727161416191,-1.5100544676094,-1.61019574445105,-1.2701100734822,-1.38716620944688,-1.62440776010771,-1.48870854956712,-1.5263526389707)	c(0.0998134002850878,0.181453028255112,0.139491330070561,0.157513651988358,0.124889846227697,0.163557953900955,0.255313841042086,0.226226248428189,0.116697505968182,0.205989479268832,0.178512128294391,0.147899521647163,0.128429242178483,0.140309590127478,0.163703234370708,0.188048455621151,0.169579332417075,0.171931527299123,0.237370181878159,0.0924206107478618,0.103423052267336,0.119652689347461,0.113519814356995,0.114812921597357,0.11620123088377,0.128322952374171,0.102782766858606,0.130273551540782,0.118013346786862,0.0894889699693641,0.112736511731659,0.207198681754062,0.161927391728887,0.0998342976635443,0.128417707202973,0.175904978234811,0.0756565286635965,0.165097408154306,0.183368878119606,0.233582256262785,0.0783757883721733,0.278661738398839,0.12593509319049,0.158962190095565,0.105740626720759,0.137615501016788,0.203417689677521,0.181372275125618,0.106852521350552,0.132649406940784,0.0981377174623245,0.12680832746718,0.239243551358058,0.133896444467584,0.125132250276881)	c(-0.0611389166376094,0.113645130238514,-0.0111921015429153,0.147647657190036,-0.00880497771766538,0.0836719638083433,0.18807451104694,0.16678589224366,0.0279022350118618,0.153231358910117,0.159573367311567,0.0634106029813483,0.114548901994546,0.0418758329603235,0.195043747284802,0.0578752288601361,0.113703006353863,0.0401738890946338,0.0878656766296296,-0.0108161784415291,0.0219187636089184,0.000109471742044013,0.000510640036295495,0.000731550118783427,-0.00121678449204263,-0.00636112250431177,0.00477539389110711,0.0172961526016036,0.0278612927361838,-0.00723766420193625,-0.0366386270648167,0.0397946615018021,0.195956858910994,0.140478548732174,0.165762543612328,0.0846718532330713,-0.123600770451217,0.0777433888677258,0.0995441086310619,0.168609859472907,0.0745971374417299,0.220767810331918,0.000364022181687809,0.244511576940547,0.146173438360535,-0.00656122173083061,0.077341949627328,0.137100741202621,0.13752995012279,-0.0143383341936572,0.125080323164883,-0.00639407159717875,0.013050579182333,0.0633421529008332,0.0148056189020641,0.0169863574296393)
