	stunting_SC	stunting_GB	stunting_Pan77	chlorotic_area_SC	chlorotic_area_GB	chlorotic_area_Pan77	av_streak_width_SC	av_streak_width_GB	av_streak_width_Pan77	deviation_from_rectangle_SC	deviation_from_rectangle_GB	deviation_from_rectangle_Pan77	yellowness_SC	yellowness_GB	yellowness_Pan77	whitness_SC	whitness_GB	whitness_Pan77
KE-O57-Kimathi-est_1990	-0.678125301092363	NA	NA	-0.0917946286344485	NA	NA	-3.28184683407133	NA	NA	-1.51672957263562	NA	NA	0.227556044984434	NA	NA	0.178993588491792	NA	NA
KE-o54b-Lerosho-kenya_1990	-0.786548152786877	-1.83909140021594	NA	-0.505057428301498	-0.163134164909363	NA	-3.40186350087062	-3.03939638943681	NA	-1.40723921099371	-1.41836651751345	NA	0.236190623887737	0.157261160693104	NA	0.210334709370762	0.13479854000445	NA
MSV-A-KE-Ama_1998	-0.722201074835088	-1.26422149960709	-0.585312894549483	-0.160613566590908	0.0104588408910027	-0.136074509347122	-3.15056339445524	-3.06001461152441	-3.09449556908657	-1.09947649228665	-1.16333476592127	-1.20289442714858	0.251369207506208	0.21163260515923	0.221937049986513	0.205754357789088	0.163250194552801	0.16446464358011
MSV-A-KE-MtKA_1997	-0.768720470269396	-1.02628906405775	-0.297269575290279	-0.189174832175197	-0.268904856804298	-0.567522963649497	-3.18784350327404	-3.02810202925891	-3.15035894795912	-1.46165400588978	-1.14200085369173	-1.33769718821509	0.235707855066079	0.228043894863085	0.208899254558538	0.163947399609536	0.16414878873654	0.147474490013184
MSV-A-MZ-Bil6-Bet25_2007	-0.493493531634861	-0.834456012670339	-0.512987790155295	0.378978867856031	0.125027991369755	-0.292399046951279	-2.8865236226747	-3.13956657404003	-3.2696872453807	-1.44803412773289	-1.39273248869425	-1.47401124591803	0.0411355677704286	0.250687571941441	0.234085476536778	-0.169294090533134	0.26290251644758	0.179561461251386
MSV-A-MZ-Chi1-chimoz_2007	-0.475318204392699	-0.731070650972561	-0.338380592803411	0.121685389863175	0.193169918275004	-0.266980131720204	-3.10374410860004	-3.07607753064005	-3.32462809056641	-1.46488846303326	-1.38453445650156	-1.47089922423995	0.0545563184845729	0.237851332266782	0.238827828644397	-0.10338453118292	0.251419195830559	0.206797551535634
MSV-A-MZ-Inh2-Moz1_2007	NA	-0.884371686948492	-0.419543646554414	NA	0.144130109856574	-0.21772186943131	NA	-3.09360865613268	-3.26206637761729	NA	-1.38667053868404	-1.44947160740441	NA	0.246123799298036	0.244065893779715	NA	0.23718944190111	0.207294124801208
MSV-A-MZ-Map8-Moz3_2007	-0.526187633335713	-0.918953714338699	-0.495555699855203	0.464465434648941	0.30548693342818	-0.0943799463293309	-2.89441870163065	-2.96595255820303	-3.29349542846544	-1.4427098771269	-1.40418466953996	-1.49095127421108	0.0460536803068734	0.2331326919152	0.232180174410351	-0.143003228553516	0.22400960773874	0.191382707164758
MSV-A-MZ-Map9-Moz4_2007	-0.520065442470427	-0.684390689826123	-0.625237153422096	-0.158647933436552	-0.089433051046492	-0.50518759498886	-3.29509744329695	-3.29637570160478	-3.42199598492878	-1.4643328524202	-1.42888478366855	-1.47904930564286	0.0617599518442524	0.220425305120054	0.203928863121714	-0.0981141530497596	0.188397189810331	0.144549075379128
MSV-A-MZ-Pem2-Moz37_2007	-1.10085358853473	-1.15397169494079	-0.497327408904486	0.131816538063768	0.176831280507464	-0.226581579802229	-3.13722867362924	-3.10454829581026	-3.26232767723119	-1.42298189945287	-1.28578808691205	-1.48787979835709	0.214997277042967	0.217030960486254	0.238748357363498	0.146195741616276	0.242072607223092	0.203634789491264
MSV-A-MZ-Pem5-Moz41_2007	-0.55768067266072	-1.3267699700119	-0.618231535115427	0.414449413413468	0.164255239714825	-0.128511508128831	-2.88962512453924	-3.01959455091658	-3.28182629486719	-1.48746711356566	-1.39224179074096	-1.49219715802766	0.0554086445847562	0.241398270100088	0.217294104781777	-0.111222594276134	0.301347291227779	0.157946731951697
MSV-A-MZ-Xai1-xaimoz_2007	-0.465443025614174	-0.899386053204428	-0.5823682734025	-0.128496864085575	-0.061042512906692	-0.686155917561168	-3.27669533462076	-3.34449740449196	-3.52319595582274	-1.45808352191197	-1.44586938267349	-1.46516679437147	0.0633729171844813	0.217508567221168	0.245526698470476	-0.122075989296458	0.193224998988936	0.197891306501103
MSV-A-NG-Ns_1980	-0.705010996194468	-1.14133690995087	-0.651420117184642	-0.166506193590868	-0.151303379685123	-0.216713460051364	-3.04800457848555	-2.93801032824158	-3.11639724773942	-1.25459961104079	-1.22266326967125	-1.20110237976276	0.246995287368812	0.240887867755362	0.227850060794498	0.176599611304775	0.220238011406244	0.172665161407647
MSV-A-RE-Jos1-Mic18_1995	-0.931424624159678	-1.89461889522062	NA	-0.330077681061168	0.0102693116643841	NA	-3.29929421936379	-2.98438804469838	NA	-1.45527673763549	-1.30947469555404	NA	0.171950365119491	0.190605567189872	NA	0.0736412786369522	0.183604428627258	NA
MSV-A-RE-Pie4-Mic13_1994	-0.763652153064837	-1.93777341752617	NA	-0.119276066341122	-0.072098880630274	NA	-3.22853993853885	-3.02018524823226	NA	-1.47173402572095	-1.32613280626082	NA	0.189647175704355	0.200420806454018	NA	0.100886747356289	0.19555610578684	NA
MSV-A-RE-Reu2_1997	-0.612157522698428	-0.907840579839152	-0.263106115972349	-0.704345308207063	-0.313325643555783	-0.719168529506087	-3.46299250007714	-3.17297400750274	-3.1899245843656	-1.33736216290223	-1.16089597088234	-1.39850434609745	0.205079001090547	0.210967178079542	0.185794974182579	0.211932341946172	0.206323465509493	0.162389375092115
MSV-A-UG-Bug245_2005	-0.705936328440322	-1.03490132057369	-0.7188931935939	0.370950509886373	0.27227223163904	-0.307703787714755	-2.9271192303229	-3.02628772779752	-3.38571789577469	-1.49485513157684	-1.36448312975016	-1.47913007918271	0.142361978312779	0.16939054860663	0.115488925220546	0.11224175852283	0.155128296165382	0.00409658301079319
MSV-A-UG-Bush53_2005	-0.786657873237386	-1.80860862934017	-0.656931847697688	0.462864713676937	0.404125226789883	-0.0654267152467462	-2.93776085565542	-2.79949397337776	-3.28570102627213	-1.48428667596732	-1.34303249504283	-1.48883269695292	0.120901831985092	0.147138702055851	0.0519770583535788	0.0386261319339808	0.118916549366241	-0.138235889351288
MSV-A-UG-Hoi154_2005	-0.76187075042771	-2.28807248567272	-0.944132312664223	0.483621830272613	0.387586154588943	0.115219540223752	-2.85512014899978	-2.92416839492103	-3.23629488903162	-1.30053848929176	-1.25703052615299	-1.49173852215751	0.126149006877426	0.129308258281755	0.0472080216058009	0.0680415415400637	0.107566709716474	-0.12129019621589
MSV-A-UG-Kab82_2005	-0.838232576680696	-1.6398739455575	-0.649548850068238	0.505073343575756	0.365665908360423	0.0402043374922092	-2.89297809780142	-2.91238613120103	-3.13214539499906	-1.43069386032291	-1.34389717286725	-1.45470760826152	0.116008440205263	0.141258904859706	0.0641913120430013	0.0450109671888538	0.103168291112136	-0.0943936915854315
MSV-A-UG-Kap292_2005	-0.951576479762814	-1.53054453561658	-0.563365265527439	0.422736170224064	0.427399495295934	0.163747229765232	-2.83334729928313	-2.77829348042984	-3.28121686664659	-1.38858656732028	-1.29714658776996	-1.53392403896152	0.135284298761018	0.163251029217166	0.112336582562921	0.123753407622339	0.150682930740519	-0.00828832930645497
MSV-A-UG-Kib179_2005	-0.627319326704734	-1.5644546627629	-0.412996971963942	0.456679525433134	0.335226969514032	-0.256265473132187	-2.94840941331575	-2.92261371169287	-3.39735184959308	-1.38682961339813	-1.25039725665369	-1.5476734015825	0.138587654210326	0.161201730979283	0.129081354884287	0.0716031778724256	0.14932016634164	0.0403625201828577
MSV-A-UG-Kib188_2005	-0.53074706977041	-2.30307735361563	-0.79949625678254	0.175978081637905	0.311484835069196	-0.0401982629568775	-2.96553357205383	-3.00148977252034	-3.24624576413474	-1.3974773614831	-1.30742406998515	-1.40177077728003	0.106014269245717	0.158883146424071	0.0540147776936075	0.00268069146089575	0.147203356619259	-0.11932078407749
MSV-A-UG-Luw110_2005	-0.559376503217597	-1.69992792748507	-0.691875543772602	0.46972526387252	0.308062981741445	-0.0530159319943347	-2.95658446924526	-2.90268252020228	-3.28556919730268	-1.46073062059757	-1.26758061228714	-1.52700878586998	0.165657977605026	0.123215859014632	0.10822043134413	0.142471430129078	0.0789255650361791	-0.0107114024902744
