individual	host_leaf	stunting	chlorotic_area	av_streak_width	deviation_from_rectangle	yellowness	whitness
MSV-A-ZW-Chi-Zim3_2006	SC_leaf4	c(1.003132436531,0.543839045092106,0.434593225064393,0.755361523654436,-0.0790897485236894,0.366525098099792,0.780680765369709,0.401314092331446,-0.947230311761728,-2.24955162136874,1.29024052446311,0.824950050857568,0.089682077803147,0.146854833889204,0.69100322827126,0.149483658239766,-0.585781659705941,-1.06204396473976,-0.962789293240741,-1.641595243634,1.22979214688339,1.45401589768546,0.945451789494872,0.679414088958091,1.27717263304975,0.498377822546651,-0.980040785605029)	c(1.14913981641519,1.47160496634295,1.64724344491987,1.26128461276957,1.25815206282555,-0.808417274026615,-0.899245595443876,1.03031431264504,1.50643301204571,0.914530807182799,1.38218961966443,1.66767605316698,0.563630444705295,1.4261177882994,1.43824281993925,1.01471923592061,1.04408912620622,-0.0551440616745343,0.921258857057209,0.248932120926624,1.26976751795789,1.27431263665981,1.58338491494168,1.6436402696556,0.035024112922866,1.0565823313892)	c(-0.499999331636665,-1.68269293518482,-0.12273725951452,0.207260230185837,0.0967076225913783,-0.134001284707694,-1.0354434841787,0.239926463085361,-0.0736066412756975,0.348906371916358,0.708259992845308,0.374736541484392,0.792707803973605,0.392282188097269,-0.0216673959832481,0.82799365938626,0.608213367971138,-0.502779520432245,-0.0634765513171097,0.619903043268786,0.12863396801404,0.384227363408228,1.04131576192974,-0.605781961691239,0.398142833893218)	c(-0.749467112529673,-1.53814988641037,-0.14142908614553,1.3227500039659,0.677605912101298,0.174830272042682,-1.07209191861319,-0.997746023780673,0.455601024677251,1.0590773983217,-1.15156400601766,1.06902686880472,-0.63442412167095,-1.06205415333006,0.760269610046341,-0.326721945721654,0.781276791462502,1.10759366582002,-0.486455073876248,0.313363105468088,-0.342506558059012,-0.518247624420744,-0.621966150536031,-0.40000402388048,-1.28311991033826,-0.298057773811642,0.504495405781868,0.42717869400436)	c(-2.30755379070512,-3.45013994157466,-2.13365590540021,-2.1042324553999,-2.25201790860615,-2.7785899556998,-2.65108075863755,-2.3567411990093,-2.26846496616265,-0.995312967036955,-1.41974178224,-1.51002875347102,-1.38139245856357,-1.37129030054351,-1.46300426497405,-1.63603288821045,-1.88090970149793,-1.70378564879396,-2.19259561637557,-1.85596688644758,-1.19903399718977,-1.78573765678526,-1.69409596005737,-1.35215418746744,-1.41441721342446,-1.28093810174658,-2.52088733302862)	c(-2.41693377926847,-3.39324172259875,-2.20399221619111,-2.19977580938371,-2.18387724142373,-2.91510307771207,-3.66286798166631,-2.72589582707122,-2.18114181060599,-2.02617875118102,-0.932603756449566,-1.09743440285582,-1.09699524839757,-0.611889677134826,-1.00378927179613,-1.25798120527246,-1.24548867539168,-1.13430946901605,-0.934492871565622,-1.61873935580912,-1.83039210006352,-1.16893280359137,-1.75199634572691,-1.5800881434579,-1.26896244396695,-1.65184946801658,-1.01275073784328,-2.08396253884403)
MSV-A-ZW-Chi-Zim3_2006	SC_leaf5	c(-1.97471382475286,1.38229737912049,1.12541599139131,0.919842986294762,0.618321452487977,0.567931433781072,0.619209398511541,0.387957543185043,-0.159573523324425,0.868350992888109,0.182284772270252,0.796378042254613,1.24388959566664,0.198088795531551,1.11695051988217,1.17615206478315,0.661855632888844,0.266005384141294,-0.697683777185851,1.06109239845371,-0.357458629488656,0.641565923446689,0.990011721337328,1.29880089754095,0.261423804006065,1.60110512117403,-1.8090312840019,0.6238051220395)	c(1.09005996769109,1.94594448936443,1.98106255438711,1.82184784317371,1.8129017037989,1.21113087106474,1.58997217631539,1.43698124375547,1.01914115184393,1.5426758242584,1.28271530050048,1.70200851078307,1.52584789629213,1.17296577485661,1.57116733684348,1.10282228476575,1.43137783149734,0.839985592679646,1.18737489781932,0.974905580930157,1.13946603932375,1.10372030387254,1.46186049375027,1.00458419733683,0.820924250911688)	c(-0.388483348532848,2.75470830285715,1.94050892469593,0.817251495198731,2.37299196830045,2.61782402234117,1.36322630354818,2.05579069713116,1.72603531890951,1.48283114863135,1.15848170423887,0.74547231417123,2.10982970896408,1.35644469317972,-2.30153548233331,0.625337340394719,1.27904599728252,0.203535999736676,0.417579782813378,-0.395216920288511,0.469961693328828,0.193601098426618,1.04192812040104,0.716912569097498,0.518698867976091,-1.11446994111689,-0.461565004993439,-0.14969476543285)	c(0.501208816919802,0.64502723343857,-0.891627505354081,-0.18885038215969,0.252175790583853,-0.385619591662417,-0.0932911562087365,-2.10634766792021,-0.345530277591459,-0.464538034309363,-1.32235954478748,-0.537724856416772,-0.483042367008643,-0.28406657988039,-0.435335318955921,-1.13483703850777,-0.802116459147861,-0.279307066290526,-0.191521237260137,-0.286907394103837,-0.216982409716709,0.378094985167641,-0.189770159916729,-0.496568642675339,0.0701517944795144)	c(-2.02712549212389,-1.42865760424256,-1.68674800436924,-1.88349316785084,-1.53754985098939,-1.68887202282638,-1.84663280059041,-1.7109484120294,-1.77280124850864,-1.37867840842413,-1.06699309981247,-1.27889124917827,-1.37127049040978,-1.23841177871371,-1.24556294509391,-1.39533415930467,-1.32105850312169,-1.57933899785575,-1.48854340795708,-1.81353903066479,-1.77746865251599,-2.00598186357688,-1.64931318562037,-1.72692104124828,-1.50238728992158,-1.48844645944259,-2.19350753090826,-1.69803297180061)	c(-1.78055307118195,-1.7161622525144,-2.14688798829149,-1.87093087052762,-1.65932501631421,-2.03097069264446,-2.33108488208576,-2.06428812596945,-1.48796435805122,-1.47218704126147,-0.643966910147438,-1.20017384188939,-1.48679059606813,-0.741437805744342,-0.412314328248592,-1.1695114274031,-1.31800461671564,-1.04467656585288,-0.86878850525621,-1.75887428980951,-1.2526145390125,-1.78241363596954,-1.74915681696642,-1.85442014598879,-1.12307472461052,-1.44278640585303,-2.09137916381412,-1.69282102298364)
MSV-A-ZW-Chi-Zim3_2006	SC_leaf6	c(0.759159964504469,1.25240352097236,0.792680043270187,1.29460004882501,1.05581896775583,1.12000147486654,0.696361235720443,0.112988273570018,-0.142243808838615,0.470947329543204,0.155110564650106,-0.0648335936380082,0.271696662916746,0.896238561899487,0.44197696486817,0.456382042752977,-0.211917360207021,0.61374912607556,0.850054853368726,0.873878682632995,0.996149206817722,0.259679053760881,0.95720198369166,0.656170882468745,0.676857726243964,-0.746333764187724,-0.42870610321954)	c(1.17152199791144,1.18816178694639,1.48716601347432,1.48818272661909,1.2688458020424,1.38195690385995,1.50411534694695,1.3991535102817,1.14869024012874,1.88270046128472,1.26103713822578,1.19580614939818,0.85256179818291,1.37476516509782,1.42346149982356,0.418800534697219,1.34055021467762,1.59692515602894,1.57383249504807,0.879581819674906,0.300530971594903,0.547792145055105,-0.125075777288729,0.469998739260441,0.153945424210938,1.2302746488885,1.25229756896503)	c(1.03553330530736,0.486586622533261,0.716988161511571,0.72240204629179,0.595357639689378,1.24734395880792,1.49172801852399,0.651252569602293,-0.0500662895305729,1.90201679492937,0.863291947282427,1.51135693614031,-0.0394950633655611,1.0545754968677,1.04734527076145,-1.01027053970451,0.777997454795512,1.09543958019381,0.897440120409822,0.319257958988444,-1.51658528441435,-0.586103532143701,-0.744985847453387,-0.257673623472285,0.523893622561282,-0.356487548578292,1.09261542644864,0.551142358281624)	c(-0.358867578244432,-0.35361008900717,-1.02795144210716,-0.665554548679754,-0.380887994380413,-0.37722661898702,-0.343985279545472,0.169024099628758,-0.377271848502821,-1.27618184901147,-0.634011035094811,-0.549845570147101,-0.543551370877187,-0.225842485055179,-0.877369914781549,0.160966525979323,-0.951214066479477,-0.382496861869317,-0.589905606431914,-1.53149995905167,-0.537066333708353,-1.39659090114195,-0.27880081294635,-0.138519548898966)	c(-1.76842660833067,-1.87405014841543,-1.93977178671226,-1.95072809214601,-1.94066255851537,-1.82738775898117,-1.62665237994188,-1.93928981018266,-1.89481467051548,-1.45574810150675,-0.979982543539757,-1.04334816468935,-1.47877242377902,-1.24542376263403,-1.28437958215393,-1.4990673277186,-1.37366464156632,-1.26042345430334,-1.25210721833137,-1.23789064167998,-1.26030922485429,-1.45889029768575,-1.39299623372283,-1.27322349252105,-1.26255247556869,-1.36576778084509,-1.4012762474283,-1.30824619421575)	c(-1.84890198126112,-2.11855000174047,-2.24123660444557,-2.27632866952872,-2.37826525195742,-2.30925258712453,-1.88072673772472,-2.2786859853818,-2.3742791366432,-1.60575943329043,-0.781359010667939,-0.683558565643576,-1.0884039831746,-1.01389542333983,-1.24776679312926,-1.70356200977132,-1.26738887833539,-0.705447246223388,-1.33996801433086,-0.983134741032481,-1.12306751424433,-1.46324682861587,-1.39701762730377,-1.14824316514409,-1.07340078609479,-1.45314991055908,-1.39824414781719,-0.72450229045608)
MSV-A-ZW-Chi-Zim3_2006	GB_leaf4	c(0.330571736425673,-0.157661473906544,0.640283469935494,-0.588631508659268,-0.993171430644387,-0.94579017919456,-1.96986955563643,-1.10548660933841,-1.25558404785943,0.323107379608829,-0.165295530328562,-0.350039830526462,-1.54515608848936,-0.449665202931894,-1.29686211796572,-0.735074446275131,-0.64181245971925,-1.68913357990454,-1.41536068946616,-2.54645929569286)	c(1.23797998735559,0.422825805937846,1.25987224064978,0.813497738291678,0.623786162678109,1.34188426323389,0.789266164827122,0.609879812144339,0.314647105686995,0.769635254284344,-0.0820494442855054,0.698564251904551,0.525771606866065,0.208870314680104,0.624106105824732,0.42274772000312,1.0131814599385,0.940938125112734,0.404069707775139,0.416986298428844,1.45436531985978)	c(1.04003789566259,-0.429155305603852,0.522821211065031,0.935478100532726,0.859444479190516,1.65241580766639,0.51169683984795,-0.656967867561913,0.136366847169457,-0.321136442612717,-0.710263168662196,0.593775723884923,-0.179903126046579,-1.55915338058775,-0.695623526322116,-0.776621645194064,1.2170217090734,0.204738709587197,-1.00718628930948,-0.688310954941179,0.425574733320352)	c(-1.03964321753028,-1.33030047063937,0.0642383727046212,-1.18332618328693,0.882366122272625,2.9392351288009,1.05534450765598,0.063651970579787,2.60579650778358,-0.641502563135685,-0.603906136610534,0.275445703165464,1.63860125434257,-0.705465197630668,1.57841771801567,-0.164142533604833,0.562020028442781,0.622137780476668,0.225760297460341,1.84777280739812)	c(1.19278618284851,0.889098043007856,1.04283409597328,1.40870735693418,0.710745892315413,1.07580539169897,0.755270851956664,0.62468013397299,1.39080588048524,0.571035850237707,1.25814788554221,1.5014017192476,1.23259950370974,0.0474642037387077,1.23846816649657,1.06801043359267,1.23621328226204,0.689688039294094,0.505621106366657,0.826244807235026,1.01387604462794)	c(1.2952863809446,1.27337122601569,1.07946234063086,1.71599373887324,1.64019678483823,1.41395373992437,1.94785000219071,1.78627164113407,1.21795536190033,1.5182082848311,0.345817437018292,1.05696407585197,0.510637575830676,0.564155606815928,1.78667029625864,1.0118107348866,1.82457826555861,1.42349325078532,1.07616852742836,1.31239754357417,1.31957218800215)
MSV-A-ZW-Chi-Zim3_2006	GB_leaf5	c(-0.208004267694932,-0.441299964041465,-2.39243218134965,-0.26487494707895,-0.0912638038745185,0.412762508552911,-0.28984530848581,-0.835308778812857,-0.383302818962324,-0.277792646735218,-1.40405048211105,0.0643636680779746,-0.395103893082366,-1.18574086184415,-1.42455948144774,0.462678554991772,-1.71530675005113,-0.258865681329618,-1.26743069372887,-0.785142439461549)	c(1.39770190313311,0.936079870640128,1.09204248771278,1.20031802984388,0.978349112538444,-0.380641272073284,0.489307003335969,0.0117905523740624,1.14706655289545,0.817255820368185,0.766903960059438,0.214120381997775,0.200180133414895,0.468888161507698,0.0100042746944607,0.661020096201176,1.561346717653,0.954169743420663,0.674865427745296,-0.395476975171911)	c(0.979975516474322,0.575245661585937,-0.0907865355767713,0.649253001838161,0.955694147087657,-1.35836282110137,1.24283277508539,-0.581773173484331,0.987169419215914,1.43265867061951,0.110718651969796,0.581391545606403,-0.556365021401414,0.567034747048827,-1.32754872420486,0.70630649628546,0.462276412222681,1.08803318973733,0.177207581378743,-0.0305413416449439)	c(-0.641996184474484,0.0804336857835307,0.258415101156168,-1.73697519934901,-0.548139836629067,0.630560689893058,0.788998786067963,0.211886455568837,-0.442949947649764,-1.12357385048269,-1.55692214426096,0.186923325308302,-0.359802369368282,-0.413611265769865,-0.729810894256923,-0.94378381778441,-0.563483171109354,0.96327687427835)	c(0.948569420862541,1.04850717953442,0.538628285210509,1.23039965152935,0.597079461865536,0.538083838321887,0.906395900979567,0.55820932298015,0.744756660867912,0.750785547424095,0.497103678281524,1.82426322311094,1.46504695020958,1.63051755311701,0.980740614838237,1.32705960746477,1.10081789031415,1.71612895351372,0.971120726039922,2.09814917841785)	c(0.47003529791362,0.72389283736373,1.28225550033295,1.16502971991025,0.117161837027119,0.27590956129751,1.54981846430722,0.476730042698278,0.171855532415799,1.60736129938396,0.887667330286835,1.36210094818982,1.08582778318661,1.32028880512244,1.39303446591377,0.872224101083946,1.67758559449244,1.04040627510613,0.429488074439406,1.47633107971592)
MSV-A-ZW-Chi-Zim3_2006	GB_leaf6	c(-0.0962510255388594,0.0395780770946496,-0.130728629249647,0.0295014169305227,-1.39108048404273,-0.481747389017368,-0.214073218690855,0.660054331823409,0.191085971094457,0.216897210841165,-0.875574695747735,-1.16571263000189,-1.78874103287194,-2.20222127153991)	c(0.476298060854909,1.14583512482981,1.27283853890684,1.3155586014247,1.10585793681691,0.898133747194298,1.36291572681746,0.882240416641349,0.215470496477736,0.768534799740294,0.956633260851407,0.76654627391752,0.700046394725483,0.580079239067124)	c(-0.354336311967321,0.953492100302063,1.14871004189365,0.840479197561164,0.72925016572044,0.461149085296839,0.317440712043953,0.235150340084256,1.01250314002585,0.203690355146426,1.00791270304717,-0.263221782445201,-0.603964527217916,1.03374299227544)	c(0.330197322000592,0.157498658146149,-1.22639407898575,0.46352323327028,-0.489736708509383,-1.0273390037207,-0.979378736053686,-0.596374616722262,0.550482164536477,-0.925476767869061,-0.659303775317376,0.553892052079843,-0.105287684817806)	c(1.08838936572835,1.27132572112229,1.26830002107301,1.23243866777068,1.36589698393273,1.35031750283474,1.16099882520182,1.21823556773542,1.32122312983679,1.04697686099671,0.815682255675759,1.29824880669426,1.08601050739243)	c(0.021031582487464,1.13161019415164,1.83203832388216,0.451403594116245,1.41916027075354,0.503539392209375,0.205589949845987,0.600685788384694,0.572559983964419,0.0351511022600928,0.215525365150461,1.00876384046834,1.27305244971422,0.995575816051794)
MSV-A-ZW-Chi-Zim3_2006	Pan77_leaf4	c(0.404383829927369,0.233601986500147,-0.182515140750957,0.369136434398477,0.709849669046045,0.0768113834521935,-0.62812847049943,-0.0989916069395675,-0.26219006710792,-1.0017801407078,0.351188917223663,1.15887891221043,1.42568411224296,-0.418264898556589,0.696307240864073,1.55968763505891,0.898545874647327,0.862966077815996,0.153627667985522,-0.68786609521711,1.04587679568878,0.543684329870768,0.425273644751349,-0.256005885442894)	c(0.163740440369412,-0.56986329602075,0.0942123816623449,-0.711842467537344,-0.559982277201656,-1.47417521660154,0.578823697255766,0.159389077747984,0.118257665073866,-0.529072272059449,0.485151968177912,0.130750061947417,-0.0804124321567486,0.696382148573514,-0.0564368013614364,-0.878422427798923,0.483736927366411,0.132504128966652,-0.232125092107366,-0.708782200633677,-0.0868555957206066,0.0419072830736732,-0.0276638284141049,-0.230880792910414)	c(-0.68534777963382,-0.685718869163536,-0.729271483099226,-0.715256007992464,-1.1624083314971,-1.46597749275603,0.52724233206041,-0.341461915539218,0.190517109562015,-0.897330716315941,0.00952907869418915,0.0505156985598921,-0.694231171131291,0.527187571076268,-0.0974016587373007,-0.91030321333573,-0.00848496905641107,-0.711704087371878,-0.525360844184063,0.0894349571403591,-0.199888000006005,-0.238747512827256,-0.865731785562092)	c(0.476512355531784,-0.335266115213906,0.45957178464289,-0.675177680015174,-0.492844007080845,-1.22430906231558,-0.026946384421076,-0.812254951718538,-0.882365548622272,-0.62754506431628,-0.901629789958469,-0.616027755690466,0.285586163410543,-0.275332361524125,-0.84014077102114,-0.360757282943228,0.750289748124491,0.518013651869524,-0.893582822263064,-1.73643942285742,-0.27193390567974,-1.13800852889329,0.403571382517959,0.315264369805267)	c(1.04482141653674,0.989443700101575,0.932727191726513,1.15492777468064,1.22346478238475,1.14609730936273,0.952030330994497,1.18230577532503,0.951206422801049,0.884413694313486,0.982002425258243,0.741030571443196,0.57341756652051,1.00312528443001,0.806781961598246,0.620489638322708,1.14715627013189,1.21238750208501,0.460136727466367,0.727315251163043,1.05340314803276,0.911307553046161,0.76058032667681,0.507514593894582)	c(0.697523936590075,0.717933966814729,0.400255931472725,1.09201534946127,0.658033961031633,0.863736082029779,0.763770220692971,1.15637740587694,0.280357184082703,0.866793684214392,0.265257389014425,0.833249866098935,0.581196638778382,1.21438433700291,0.828336927743307,0.603496934161201,0.645794010628002,1.04315673513428,0.278585140938175,0.818797365365537,0.605105798603371,1.13941371886351,0.605439393554114,0.297685120217017)
MSV-A-ZW-Chi-Zim3_2006	Pan77_leaf5	c(0.370790111022713,0.00590377343742039,0.475226436493849,0.111318293113146,-0.905410214638313,0.138842216356299,-0.317652684753588,-0.44355283908379,-0.119778727192729,-0.697972505825258,0.337310566916767)	c(-1.58973737604016,-1.22886968562984,-1.21504706011726,-0.328521374893732,0.139999248114363,-1.65379410832926,-1.94468417059679,-1.39819188136892,-0.0587635356205244,0.608240104139144,-0.508956559123104,-0.308160552519841,-0.15359417151186,-0.770377771344886)	c(-1.58145503083799,-1.90161527559965,-1.72117429711021,-0.572857456856059,-0.797589142883584,-1.69010808233388,-2.36134178298156,-1.22310077587125,-1.41170344960166,-0.189764791586405,-0.616462297602226,-0.586044537093651,-0.474064544534523,-0.73216355772315)	c(-0.380552511716046,-0.59019602921089,-0.199706980622955,-0.111654146538517,-0.300738523793278,-0.118569097293089,-0.271793444964393,0.1725498220423,-0.0859766440307501,-0.247191072353211)	c(1.56722961408501,1.35491475933495,1.28123217393492,1.85153908892383,1.34665852907227,1.39491965224808,1.12623763179058,1.07907482304299,1.18828519755695,1.0595546579954,1.47640497488309,1.30440492299452,1.24550515392761,1.5636393436441)	c(1.19134266361604,0.581457754012593,1.00824202972039,1.73483692100765,1.19707624889862,0.347009046465005,1.66997079226709,0.786791535338381,0.895785181111306,0.49278416953091,1.0460055873674,1.11819926985077,1.81728652811642,1.34422736414937)
MSV-A-ZW-Chi-Zim3_2006	Pan77_leaf6	c(1.3411507755024,1.24350956077795,1.36423433094607,1.10754878983323,1.34167524634905,1.2589226277056,0.89861363869476,1.60699518897557,0.501227943784876,-0.259895020198772,0.556777433456544,-0.0882288524456125,0.199149851941045,0.123911972534286,0.297089177660281,-0.117658280667427,-0.00990335500169442,1.34761762567598,0.839452922678583,1.70386088186007,1.52557031334944,1.38925956854728,1.29161835438332,1.41234312538672,1.15565758318084,1.38978404043118,1.30703142115995,0.946722432310892,1.6551039825114)	c(-0.958836227033986,-2.07258719825266,-1.55900444170754,-1.31703715260772,-0.22277887719491,-0.941024099816015,0.220819440885552,-0.659704459721388,-0.844554881554896,-0.356782158170474,-0.00730631070659724,-0.133170321581551,0.314618989126682,0.20630497633346,-0.446631038753196,-1.27713015221048,-0.45799691123933,0.332737675745522,0.0149834527488714,-1.16323626371574,-0.770227263037759,-0.462210551735332,-0.913413037652514,-0.78195716074368,-1.31687005074388,-0.15919021897309,-0.262289233557938,0.222219479765461,0.12962839526212)	c(-0.808593538416189,-1.96575400887835,-1.81524901227555,-1.56367991544758,-0.937048667154892,-1.1305918802177,-0.0922801238890603,-1.08103017618882,-1.17760584250746,-1.2223611566909,-1.01516071163811,-0.7292204718778,-0.513372966311083,-0.62750793615963,-1.0414820876704,-1.82962716820764,-0.438493947766893,-0.0543141663682101,-0.690685923983941,-1.01868087750061,-0.712102009283311,-1.51363170399399,-1.67163116211459,-1.42634366916776,-0.873121940966641,0.0102925591293382,-0.842975766064613)	c(-0.355599693092113,-1.63808268775565,-1.19074706538859,-0.906224223873691,-1.42344489631001,0.00279502179367842,-0.0987546009910904,0.866865150345376,-0.750697648076962,-1.35054346400025,-1.16867627654348,0.890174807412807,-1.20485232196891,-0.597939939539811,0.1123547867703,-0.0447539888710096,-0.395534120716446,-0.937477585742366,-0.233942693669596,-1.64173864296337,-0.355599693092113,-1.63808268775565,-1.19074706538859,-0.906224223873691,-1.42344489631001,0.00279502179367842,-0.0987546009910904)	c(0.961722334336238,1.32601641363715,1.33363332415858,0.883511192739918,1.00537747494963,1.10588593460294,0.898580112107496,1.45863629503624,0.559946181941864,1.09510554988134,1.1553413877115,0.864103047797157,0.414872788797558,0.702523750573811,0.779278740936525,0.856801245552497,0.881102158088951,1.87251783415761,1.98310157070101,1.9057701372065,0.887321946046866,1.27477036062816,1.3346064785309,0.88229920259909,0.947049874132576,1.05144907918281,0.898293122671722,1.2329002742935)	c(0.883253719324468,1.51003922470409,0.795248052841304,0.549002748412472,-0.0448289311578503,0.734101057659848,0.831953186949769,1.27134242608748,0.189936831388686,0.789378008763113,0.842370336978341,0.447494745603304,0.183341991664322,0.0763193405198734,0.394031337720907,-0.0362459371832433,0.814074061324802,1.5650136325286,0.597245912940584,0.946479627062117,0.386925659312776,0.548206205929681,-0.0547035423244525,0.353434805659379,0.830806615560065,0.822423719734945)
MSV-VW_1989	SC_leaf4	c(-1.30319663754509,0.0206055394333175,-0.10982308423253,-0.198710270404308,0.929793988266636,0.176473480131343,0.327848990345423,-0.104516370606294,0.610691873745339,0.808512348185078,0.823971656620755,-0.208584728608095,0.291693157407347,0.545661836274953,-0.169126410523988,-0.262883633840727,-2.17053201178976,0.115880560148348,0.590171646788079,1.16813696522425,0.591834913801263,-0.42552689151438,-1.03684199751991,1.05904568332819,-0.232993913686356,0.619187367899393,-0.265154388226622,-1.32565071968243,1.3150021150688,1.26255416643592,1.24070140259269,0.363733328292252,-0.644699392539286,-0.411315207112406,-1.01451314871082,0.424557089183977,-1.09055205244301,0.0969973548319502,-0.427435695422802,0.20412194426506,-1.2299478031925,-0.575582871519227,-0.665606955658614,0.457788889661892,-0.698400357595762,-0.584969594698352,-0.240746104698024,-0.983940775771859,-0.824510339202175,-0.605201424382517,-0.559360814124282,-0.590761964548357)	c(-2.67621716883959,-1.86483791970522,-2.10517486549563,-1.72247337476631,-2.25636965339609,-2.89806025531406,-2.38840755172348,-2.03454536860936,-2.14831623370224,-2.62181997037584,-1.95317705492728,-4.29156082662615,-2.36542335544002,-3.17211025200829,-2.57616969480169,-1.97440263606001,-2.08708192314679,-2.46822686400894,-2.76554902190752,-2.57968809408791,-2.37031219104376,-2.41960650639712,-2.57581342612738,-2.16762443193564,-2.48118604695017,-2.75995212419526,-2.97438409538877,-3.11936516974621,-2.15963261655523,-2.20680070343073,-2.47443461170683,-2.42033917261534,-3.21578460862692,-2.79177485579735,-1.98021913623692,-2.98704830119666,-4.59596242169694,-3.10497886849342,-2.23060554070845,-3.3952214137511,-2.71105185923594,-1.98185253748069,-3.67411958730182,-3.31156821741466,-2.40919729097371,-3.77632700245676,-3.71848690332386,-3.03750939417946,-2.66729996642497,-2.70634838952773,-2.35768346452652)	c(-0.463498241265294,0.341320195926545,1.01604834207964,1.8845554500043,0.630885539007751,0.719120496361074,0.528212573479436,0.0610650278269014,1.04930208364807,1.2642763830289,0.648104260731211,1.22033064301195,-2.96914686689734,0.0556416347776155,-2.12312638920341,0.550775489282337,0.741467769119312,-0.715875304037673,0.289630202521975,0.163823090805789,0.403124151213849,0.0987566794561623,-0.212534425437723,-0.183743478568555,0.238551470555606,-0.667779248271656,-0.912531672342157,-2.419964040565,-1.98859072924233,-1.37789014177616,0.467832176989151,1.40662846666603,0.600544665583143,0.11550800239456,-0.166280700365808,0.485178714498902,-0.914164769947342,0.362742871520773,-0.716141004442991,-2.8583390960022,-0.515625557760533,-0.499241321452732,-1.28148639719115,0.61727390688199,-0.5434540500478,-1.15879839892686,-1.85724598662889,-2.11412561224424,-0.941983678710589,-1.14870036624274,-2.56496943837158,-1.88061436055368,-0.184981747147774,-1.04260604995274,-1.07787751675619)	c(-1.15846903554995,-1.21732731110646,-1.39621496656365,-0.789302642971668,0.174090983721123,-0.56810684334458,-0.0587218195273293,-0.284493547899306,-1.49799690813078,-0.416584372927118,0.418328466918642,-0.761131497025413,-0.824502984773356,-0.15594140510771,-0.550152943071196,-0.782922683307102,-0.456382325883371,-1.19329451590229,-0.677479419730412,0.297951356538247,-0.849616550845587,-1.18815140795079,-2.03867901413458,-0.275086518885929,-1.6961497913169,-1.2410227135319,-1.80771001751302,-1.39580897483877,-1.19576922077947,0.153463088764829,-1.65948644943348,-0.461585603163605,-0.406305673528915,-0.612988835470765,-0.744558644086865,-1.22803340515509,-0.425856771413152,-1.03952115926748,-0.38267274099471,-1.28356994985315,0.824647303683604,-0.0382240090480101,-0.971237122816302,-0.485246721271347,-0.900439385270349,0.509579341979569,0.0242565014743919,-0.959363385716387,-0.39674506783734,-0.552820067639904)	c(-1.04380406225311,0.0760841418951269,-0.499523709235226,-0.252303257244513,-0.699818957085798,-0.169390796929121,1.08926677201814,0.690258929070433,-0.812197044163414,0.412661889064862,0.0357424688928843,-0.38418469068516,-0.651267440210309,-0.488299260907222,-0.167397918122407,0.166556642716119,-0.0867927873523213,-0.0545266518031662,0.843125373084811,-1.14521434552301,-0.994288811185523,-0.771659438960648,-0.855786896791059,-0.838048751956398,-0.819004677011149,-0.652725466184091,-1.00307189967275,-0.625968203173154,-0.794147052412869,-1.18542900607787,-0.866531818004005,0.429249073907657,-0.191757965766536,-1.04351740333252,-0.651425670757532,-2.10037094169146e-05,-1.37517494488335,-0.148273397180721,0.10236473279828,0.791164660862973,-1.33787361282965,1.40954058378872,-0.685480825308869,-0.232432995952828,-0.962497579927381,-0.525255316330377,0.377383472216639,0.0749764141969849,-0.94724521154792,-0.593377505452176,-1.06679017174145,-0.67350227040558,0.868823241077552,-0.576271319998878,-0.696493789614204)	c(-1.19697518232062,-0.00188121334846892,-0.855461534159463,0.230612630431093,-0.839139465082027,-0.206824119019278,0.507033105253642,0.361471193887791,-0.58815220774997,0.268791448060472,0.312155222542221,-0.345362106669101,0.0042983676502862,-0.492607088321055,0.554685578949449,-0.383210482115824,-0.00148548274469044,-0.504244207873828,-0.178149414491624,-0.852891142643226,-0.629064468994517,-0.778186506408651,-0.775443499723707,-0.773933016862227,-0.787254844480672,-0.822429492526065,-0.746283048858026,-0.660671784619046,-0.588432152445229,-0.828422886746568,-1.0294533241772,-0.506837194002489,0.560929021740505,0.18159352122732,0.354474000497895,-0.199987329034787,-1.62406098401492,-0.247361023174799,-0.0982975979133359,0.373942653807819,-0.268873662178647,0.730575044575888,-0.776446006056047,0.892924142115472,0.220532591299544,-0.823797680201557,-0.250105882466495,0.158497606702703,0.161432342458573,-0.876974044786648,0.0763074448533999,-0.822654783465783,-0.689701088373495,-0.345830137246613,-0.677700923473756,-0.662790023372802)
