	stunting_SC_leaf4	stunting_SC_leaf5	stunting_SC_leaf6	stunting_GB_leaf4	stunting_GB_leaf5	stunting_GB_leaf6	stunting_Pan77_leaf4	stunting_Pan77_leaf5	stunting_Pan77_leaf6	chlorotic_area_SC_leaf4	chlorotic_area_SC_leaf5	chlorotic_area_SC_leaf6	chlorotic_area_GB_leaf4	chlorotic_area_GB_leaf5	chlorotic_area_GB_leaf6	chlorotic_area_Pan77_leaf4	chlorotic_area_Pan77_leaf5	chlorotic_area_Pan77_leaf6	av_streak_width_SC_leaf4	av_streak_width_SC_leaf5	av_streak_width_SC_leaf6	av_streak_width_GB_leaf4	av_streak_width_GB_leaf5	av_streak_width_GB_leaf6	av_streak_width_Pan77_leaf4	av_streak_width_Pan77_leaf5	av_streak_width_Pan77_leaf6	deviation_from_rectangle_SC_leaf4	deviation_from_rectangle_SC_leaf5	deviation_from_rectangle_SC_leaf6	deviation_from_rectangle_GB_leaf4	deviation_from_rectangle_GB_leaf5	deviation_from_rectangle_GB_leaf6	deviation_from_rectangle_Pan77_leaf4	deviation_from_rectangle_Pan77_leaf5	deviation_from_rectangle_Pan77_leaf6	yellowness_SC_leaf4	yellowness_SC_leaf5	yellowness_SC_leaf6	yellowness_GB_leaf4	yellowness_GB_leaf5	yellowness_GB_leaf6	yellowness_Pan77_leaf4	yellowness_Pan77_leaf5	yellowness_Pan77_leaf6	whitness_SC_leaf4	whitness_SC_leaf5	whitness_SC_leaf6	whitness_GB_leaf4	whitness_GB_leaf5	whitness_GB_leaf6	whitness_Pan77_leaf4	whitness_Pan77_leaf5	whitness_Pan77_leaf6
KE-O57-Kimathi-est_1990	-0.664103597422981	-0.694641914284094	-0.675652591666047	NA	NA	NA	NA	NA	NA	-0.113278526747456	-0.199663638254509	0.0929952395556485	NA	NA	NA	NA	NA	NA	-3.32913479865182	-3.3132201917422	-3.16647351805711	NA	NA	NA	NA	NA	NA	-1.44213169839636	-1.56323373677212	-1.56136685387321	NA	NA	NA	NA	NA	NA	0.210777702774902	0.242794379166272	0.229156829945088	NA	NA	NA	NA	NA	NA	0.141518965738342	0.232349037501511	0.153629935071876	NA	NA	NA	NA	NA	NA
KE-o54b-Lerosho-kenya_1990	-0.86357888701516	-0.759779090125192	-0.752003645837446	-1.49696150905731	-2.01340157228924	-1.98948010209393	NA	NA	NA	-0.413653813284094	-0.540981749477955	-0.538270437977807	-0.20803958222568	-0.195529695222092	-0.0869704797351882	NA	NA	NA	-3.45487006777199	-3.36894079646531	-3.39555683554381	-2.97658027224027	-3.17588127706597	-2.94859595067786	NA	NA	NA	-1.33064943923395	-1.42177662399889	-1.44821357215338	-1.49168530240615	-1.39258555756869	-1.37082869256549	NA	NA	NA	0.208639474322747	0.232193364086979	0.260300049306951	0.169253934556901	0.138363224037457	0.169133105274193	NA	NA	NA	0.171910974392282	0.221419583963254	0.231697876099339	0.150253369479371	0.143840260877296	0.108493645482114	NA	NA	NA
MSV-A-KE-Ama_1998	-1.10235222640298	-0.512843851306408	-0.563061937587759	-1.29069119975298	-1.16571533898361	-1.296269274824	-0.61382634152382	-0.663046911420544	-0.476636242676865	-0.344671455009481	-0.0808549001821825	-0.0511229300727409	0.125760351301419	0.0182669516272313	-0.0612230110498019	-0.117401752105965	-0.141082849950138	-0.150635470936737	-3.31103647776229	-3.05813381362885	-3.07784726560769	-3.07045943788884	-2.99923250573831	-3.08242042824496	-3.10052295733684	-3.11010235805628	-3.07338161816558	-1.14567645968393	-1.00104944146355	-1.13965124497256	-1.27869439963868	-1.10144205818966	-1.13238100908435	-1.1700719451338	-1.16209265288147	-1.27914812115483	0.228966402253038	0.270966131329657	0.256220435420965	0.194057262595217	0.205858390950821	0.22278245498104	0.23228167205278	0.225783191831479	0.207302824703054	0.189550012625032	0.242961010584133	0.189229662498563	0.165223241064391	0.132848894082523	0.174610883011592	0.183140043834143	0.183016309884953	0.126657837449208
MSV-A-KE-MtKA_1997	-0.975516596424079	-0.60640190189866	-0.648875479837147	-0.995507403358057	-1.06678166553174	-1.02214815718719	-0.391461028308483	-0.336126092084767	-0.156395254312135	-0.350830978936804	-0.0892926980267575	-0.0755913926658716	-0.0845512625809808	-0.544247333425439	-0.218443471376902	-0.539537402148945	-0.583376230985025	-0.582015131677202	-3.22293533733426	-3.11437565270148	-3.19514976044376	-2.87045811770688	-3.17456816144735	-3.05766656024639	-3.0978252077358	-3.22524997577869	-3.13317104741603	-1.47751866719265	-1.44360617618571	-1.45648704089574	-1.2584402531366	-0.907269640576755	-1.21115877951807	-1.36728886318127	-1.36085193518194	-1.28165411491126	0.225266370231608	0.25047229965999	0.236918930963111	0.218335929308356	0.25695297938879	0.216673409996524	0.211465349330813	0.21925970634949	0.195061376152045	0.15977733819215	0.201238937424826	0.141297916544717	0.157094732620252	0.198915133944252	0.148249214172459	0.169767971886183	0.168200547059142	0.0976841661122942
MSV-A-MZ-Bil6-Bet25_2007	-0.77638787440078	-0.361306701224423	-0.346184071655108	-0.962501061904256	-1.00016114941446	-0.29167722953864	-0.582294282656258	-0.503376122957441	-0.450151131941495	0.322079653046834	0.443438346225679	0.372443918163557	0.154548022782035	0.0796123307127072	0.154815574237713	-0.21166781073133	-0.421546095375227	-0.248019796558278	-2.99223664937042	-2.83024366405027	-2.83926734250607	-3.2566919197244	-3.04164478138113	-3.12672113649718	-3.16874129034749	-3.40812153283459	-3.22803354269105	-1.40272962538067	-1.44838017539275	-1.49457352383142	-1.31235886994856	-1.44186302621309	-1.45224540407051	-1.44680708531255	-1.49694704037438	-1.47850426291713	0.0494960689307013	0.0236090008178932	0.0524307979299283	0.238504724100383	0.259243161163358	0.257591886517687	0.231877720227074	0.224562330290909	0.245926766907835	-0.137049101976143	-0.209737110843649	-0.157741503464848	0.272664433824031	0.276920395209906	0.221762751423992	0.191136022191731	0.184465464502192	0.162504169013218
MSV-A-MZ-Chi1-chimoz_2007	-0.374977984849846	-0.494696116028232	-0.537942316406582	-0.854507283378172	-0.686813362409226	-0.659741351927778	-0.451597643878451	-0.248272091203446	-0.303476864073086	0.252232529790715	0.100633624328885	0.0457039573490712	0.169961984660851	0.170243086321984	0.239294644497139	-0.146070387230741	-0.27287348554904	-0.381996522380832	-3.08844884029095	-3.14143074291544	-3.07787055762528	-3.08991048193741	-3.05047028637015	-3.0906689804388	-3.2644017892644	-3.29047720423658	-3.41720786312826	-1.47856231718276	-1.47883913765895	-1.43912855073301	-1.21706698923906	-1.45322560066164	-1.45585912988426	-1.44472964182427	-1.50911010743708	-1.46552497347813	0.0543165310001276	0.0517303762702895	0.0577198134851931	0.233056411699665	0.237928335886064	0.242392501792985	0.237889875811822	0.228194748822495	0.251079510278548	-0.0725802298086724	-0.120639010680222	-0.113648391299625	0.301814895131525	0.261439452182975	0.192087353984182	0.236422308744625	0.195770806250665	0.191491179301501
MSV-A-MZ-Inh2-Moz1_2007	NA	NA	NA	-1.05791171729248	-0.900148127361835	-0.702943402472713	-0.650341576782774	-0.425658515311583	-0.157692658201986	NA	NA	NA	0.107869907942001	0.0934612707980624	0.231685613314179	-0.0414521270003141	-0.338893281076785	-0.269342669645252	NA	NA	NA	-3.12562767566912	-3.1581639522775	-3.00476028570591	-3.27963505526223	-3.21160750641333	-3.29668763399522	NA	NA	NA	-1.26792289366053	-1.43951088387008	-1.44971230374597	-1.43195038407445	-1.41746944954512	-1.5144710452153	NA	NA	NA	0.231349178466937	0.253636689318773	0.253095060875984	0.197560606094022	0.272175794159167	0.264397637644509	NA	NA	NA	0.254724222988582	0.267719966094635	0.196113194221575	0.11969530059735	0.266365095789888	0.238824909933773
MSV-A-MZ-Map8-Moz3_2007	-0.646742255426379	-0.422869074591865	-0.504637663085336	-0.995655197475999	-0.936675433597854	-0.813265686093559	-0.499920953128857	-0.47319059853378	-0.515275940312313	0.381448887345462	0.429676963171372	0.642912386394392	0.237847320647724	0.29624637839115	0.392010710035595	-0.0902179494975482	-0.0861970099945495	-0.10771247414922	-3.00471106083376	-2.9214781720843	-2.69841753525487	-3.06064763760669	-3.00629887126542	-2.81546204424779	-3.22804821733046	-3.3422319629787	-3.30581442256221	-1.41831442817581	-1.44546286868988	-1.47381614118337	-1.34162736130617	-1.37239024610292	-1.51263758402939	-1.45615158362901	-1.53046976271699	-1.48762446391053	0.05443180777052	0.0450669285160875	0.035728264748823	0.216692848681615	0.231599401213304	0.255239115768471	0.224275595733051	0.220719566842784	0.252730968109543	-0.12778426718806	-0.144395798816149	-0.160975731323123	0.237146585090059	0.224561044732656	0.207907586738997	0.193130493133292	0.1791527762255	0.202738393516637
MSV-A-MZ-Map9-Moz4_2007	-0.627067936242561	-0.495549909294495	-0.458161796189454	-0.677189824379976	-0.67115144800285	-0.702733737822328	-0.664642063398085	-0.550545360900495	-0.674751044067061	-0.305070624059653	-0.048405958574689	-0.134640778100937	-0.0531103369883037	-0.159093140928571	-0.0625641159587052	-0.369705722497897	-0.587753840657873	-0.539142515883857	-3.41378663287147	-3.25021633742013	-3.23137005549303	-3.29464486930128	-3.27608227899106	-3.31547048510894	-3.44360719535167	-3.44409182739848	-3.37616148837019	-1.41849947903367	-1.51923769006213	-1.46179201107325	-1.44313742323489	-1.39666191553925	-1.44346406748306	-1.42364504763815	-1.45527198797946	-1.55571250594712	0.0550266997020588	0.0527076949105986	0.0765367708042295	0.214369153784429	0.206623343676934	0.237181196706672	0.187458741668352	0.194568302495882	0.229141322520254	-0.0858822245479888	-0.124955261050352	-0.0822396016369614	0.228345054181395	0.168169563389742	0.169182504860134	0.134745750789436	0.139993727178189	0.158451402396823
MSV-A-MZ-Pem2-Moz37_2007	-1.17180697051058	-1.00011929665115	-1.14994361320779	-1.1259828657001	-1.43706623289015	-0.844704074603861	-0.584238950617891	-0.610250016525003	-0.281247292928793	0.13061421230764	0.00608493231536152	0.264217061122581	0.157572155248964	0.13656428086473	0.249297867343748	-0.120584812030605	-0.195919150052202	-0.372073841304848	-3.31311825117901	-3.07443613566289	-3.06339165178396	-3.13539208537498	-3.17843899440821	-2.98158136503312	-3.2409171155483	-3.27459342792853	-3.2737318766668	-1.3900810297787	-1.44008500685128	-1.4360379225891	-1.25567609497075	-1.28849717122081	-1.32078765500386	-1.41835977911723	-1.52903462371134	-1.53075566962058	0.229033237642639	0.19201793624549	0.22644043399888	0.216979613755117	0.207844267526722	0.227810812905831	0.233489739637837	0.242368209681385	0.240168013699368	0.137776633737631	0.123547293963316	0.17879987162402	0.280136778989468	0.264568656321423	0.158782845922671	0.192392434954122	0.207542355390229	0.21177728000663
