,stunting_SC,stunting_GB,stunting_Pan77,chlorotic_area_SC,chlorotic_area_GB,chlorotic_area_Pan77,av_streak_width_SC,av_streak_width_GB,av_streak_width_Pan77,deviation_from_rectangle_SC,deviation_from_rectangle_GB,deviation_from_rectangle_Pan77,yellowness_SC,yellowness_GB,yellowness_Pan77,whitness_SC,whitness_GB,whitness_Pan77
A1234,0.572 [0.492-0.652],0.333 [0.27-0.397],0.705 [0.617-0.793],41.5 [38-45],47.3 [41.9-52.8],23.2 [20.2-26.2],0.0408 [0.0386-0.043],0.0487 [0.0436-0.0537],0.0492 [0.0464-0.052],1.742 [1.528-1.956],1.984 [1.647-2.322],2.376 [2.04-2.711],0.583 [0.577-0.589],0.596 [0.59-0.602],0.568 [0.564-0.573],0.517 [0.509-0.526],0.569 [0.555-0.584],0.519 [0.512-0.526]
A1,0.46 [0.406-0.513],0.219 [0.158-0.28],0.588 [0.514-0.661],47.5 [42.8-52.3],50.3 [43.9-56.7],45.6 [42.2-49],0.0473 [0.0437-0.051],0.0539 [0.0468-0.061],0.0494 [0.0473-0.0516],1.74 [1.536-1.944],3.29 [2.51-4.071],2.37 [2.147-2.593],0.604 [0.599-0.609],0.603 [0.594-0.613],0.59 [0.586-0.594],0.554 [0.546-0.562],0.611 [0.597-0.626],0.547 [0.539-0.554]
A3,0.302 [0.225-0.378],0.328 [0.251-0.405],0.671 [0.592-0.75],49.5 [44.8-54.2],52.6 [44.4-60.7],28 [24.7-31.4],0.0471 [0.0431-0.0512],0.0555 [0.0484-0.0627],0.0526 [0.0494-0.0557],1.604 [1.37-1.838],1.745 [1.41-2.079],2.333 [2.013-2.653],0.601 [0.593-0.609],0.609 [0.601-0.617],0.574 [0.57-0.579],0.542 [0.529-0.556],0.578 [0.568-0.589],0.514 [0.508-0.52]
A4,0.487 [0.406-0.567],0.285 [0.249-0.32],0.575 [0.486-0.664],54.9 [50.7-59.1],51.6 [46.6-56.5],35.9 [31.4-40.4],0.0494 [0.0458-0.0531],0.0563 [0.0505-0.0622],0.0467 [0.0437-0.0496],1.772 [1.533-2.012],2.594 [2.063-3.125],2.244 [1.965-2.524],0.606 [0.601-0.611],0.605 [0.597-0.613],0.594 [0.589-0.599],0.563 [0.552-0.575],0.587 [0.577-0.597],0.548 [0.539-0.557]
Letsele_makd,0.583 [0.505-0.66],0.239 [0.207-0.271],0.571 [0.49-0.652],58.5 [55.7-61.3],44.5 [40.3-48.7],40 [36-44],0.0522 [0.0492-0.0551],0.0548 [0.0493-0.0604],0.0533 [0.0502-0.0564],1.834 [1.621-2.047],2.779 [2.303-3.255],2.187 [1.959-2.414],0.606 [0.602-0.61],0.598 [0.59-0.605],0.587 [0.583-0.592],0.557 [0.55-0.565],0.591 [0.575-0.607],0.54 [0.533-0.547]
Sag_mic22,0.476 [0.413-0.539],0.33 [0.248-0.411],0.569 [0.491-0.647],49.3 [45.4-53.3],47.1 [43-51.2],36.3 [32.3-40.4],0.048 [0.0438-0.0522],0.0544 [0.0496-0.0591],0.0497 [0.0471-0.0523],1.697 [1.561-1.834],2.463 [2.081-2.845],2.465 [2.193-2.737],0.603 [0.597-0.608],0.597 [0.59-0.604],0.588 [0.584-0.593],0.552 [0.544-0.561],0.58 [0.569-0.592],0.541 [0.534-0.549]
A12345,0.675 [0.622-0.729],0.166 [0.147-0.184],0.521 [0.465-0.578],36.1 [32.8-39.4],42.9 [38.1-47.8],25.7 [22.1-29.3],0.0385 [0.035-0.0421],0.0473 [0.0414-0.0532],0.0348 [0.0332-0.0364],1.269 [1.168-1.37],1.91 [1.76-2.059],1.889 [1.717-2.061],0.611 [0.606-0.616],0.608 [0.601-0.616],0.597 [0.594-0.6],0.608 [0.601-0.615],0.659 [0.642-0.676],0.618 [0.61-0.626]
