,stunting_SC,stunting_GB,stunting_Pan77,chlorotic_area_SC,chlorotic_area_GB,chlorotic_area_Pan77,av_streak_width_SC,av_streak_width_GB,av_streak_width_Pan77,deviation_from_rectangle_SC,deviation_from_rectangle_GB,deviation_from_rectangle_Pan77,yellowness_SC,yellowness_GB,yellowness_Pan77,whitness_SC,whitness_GB,whitness_Pan77
A1234,0.572 [0.123-1.164],0.333 [0.136-0.708],0.705 [0.201-1.295],41.5 [18.8-64],47.3 [23.1-70.7],23.2 [6.1-46.1],0.0408 [0.0296-0.0558],0.0487 [0.0312-0.0729],0.0492 [0.0322-0.0735],1.742 [0.901-3.822],1.984 [0.991-3.731],2.376 [0.68-5.257],0.583 [0.555-0.626],0.596 [0.568-0.623],0.568 [0.532-0.596],0.517 [0.469-0.587],0.569 [0.513-0.637],0.519 [0.479-0.57]
A1,0.46 [0.153-0.821],0.219 [0.081-0.513],0.588 [0.139-1.238],47.5 [13-75.5],50.3 [21.2-72.7],45.6 [9.3-64],0.0473 [0.0274-0.0731],0.0539 [0.0296-0.0767],0.0494 [0.0349-0.0691],1.74 [0.837-3.162],3.29 [1.431-6.548],2.37 [1.146-4.42],0.604 [0.572-0.638],0.603 [0.569-0.637],0.59 [0.556-0.63],0.554 [0.505-0.611],0.611 [0.573-0.672],0.547 [0.491-0.618]
A3,0.302 [0.127-0.806],0.328 [0.117-0.783],0.671 [0.157-1.458],49.5 [25.1-70.3],52.6 [14.1-89],28 [7-51.9],0.0471 [0.0302-0.0687],0.0555 [0.0325-0.0942],0.0526 [0.0325-0.0765],1.604 [0.874-2.947],1.745 [0.616-3.275],2.333 [0.851-5.733],0.601 [0.564-0.654],0.609 [0.57-0.64],0.574 [0.539-0.607],0.542 [0.49-0.62],0.578 [0.537-0.629],0.514 [0.477-0.571]
A4,0.487 [0.114-1.071],0.285 [0.16-0.461],0.575 [0.146-1.271],54.9 [31.4-76.3],51.6 [24.1-69.1],35.9 [6.9-63],0.0494 [0.0275-0.0659],0.0563 [0.0341-0.085],0.0467 [0.0286-0.068],1.772 [0.825-3.679],2.594 [0.957-5.842],2.244 [0.952-4.915],0.606 [0.586-0.644],0.605 [0.571-0.643],0.594 [0.563-0.639],0.563 [0.509-0.647],0.587 [0.545-0.635],0.548 [0.483-0.617]
Letsele_makd,0.583 [0.119-1.226],0.239 [0.101-0.369],0.571 [0.195-1.476],58.5 [38.3-76],44.5 [26.5-61.8],40 [10.3-69.4],0.0522 [0.0331-0.0744],0.0548 [0.034-0.073],0.0533 [0.032-0.0817],1.834 [0.947-3.954],2.779 [1.291-5.344],2.187 [0.885-4.898],0.606 [0.579-0.643],0.598 [0.571-0.626],0.587 [0.544-0.62],0.557 [0.505-0.619],0.591 [0.531-0.66],0.54 [0.485-0.595]
Sag_mic22,0.476 [0.16-1.055],0.33 [0.083-1.123],0.569 [0.109-1.16],49.3 [22.1-77.6],47.1 [24.1-70.9],36.3 [6-57.1],0.048 [0.0291-0.0862],0.0544 [0.0322-0.0821],0.0497 [0.0359-0.0712],1.697 [0.744-2.524],2.463 [1.221-4.992],2.465 [1.173-4.654],0.603 [0.571-0.648],0.597 [0.567-0.63],0.588 [0.55-0.619],0.552 [0.503-0.622],0.58 [0.531-0.664],0.541 [0.491-0.611]
A12345,0.675 [0.156-1.051],0.166 [0.062-0.316],0.521 [0.157-0.996],36.1 [9.4-59.1],42.9 [6.1-76.1],25.7 [4.4-52.7],0.0385 [0.0223-0.0787],0.0473 [0.0195-0.0954],0.0348 [0.0232-0.0478],1.269 [0.69-2.253],1.91 [1.085-2.987],1.889 [0.769-3.461],0.611 [0.575-0.651],0.608 [0.564-0.652],0.597 [0.575-0.617],0.608 [0.552-0.66],0.659 [0.552-0.775],0.618 [0.561-0.679]
